Cluster,DEScore,GroupS. aureusMean,GroupP. aeruginosaMean,GroupS. aureusStdev,GroupP. aeruginosaStdev,Log2FoldChangeS. aureus-P. aeruginosa,PValuesS. aureus-P. aeruginosa,GroupS. aureusRepCounts,GroupP. aeruginosaRepCounts,CorrectedPValueS. aureus-P. aeruginosa,Sample 1 Day 1,Sample 2 Day 1,Sample 3 Day 1,Sample 4 Day 1,Sample 5 Day 1,Sample 10 Day 1,Sample 11 Day 1,Sample 12 Day 1,Sample 13 Day 1,Sample 14 Day 1,Sample 15 Day 1,Sample 16 Day 1,Sample 17 Day 1,Sample 18 Day 1,Sample 19 Day 1,Sample 20 Day 1,Sample 21 Day 1,Sample 22 Day 1,Sample 23 Day 1,Sample 24 Day 1,Sample 25 Day 1,Sample 26 Day 1,Sample 27 Day 1,Sample 28 Day 1,Sample 29 Day 1,Sample 30 Day 1,Sample 31 Day 1,Sample 32 Day 1,Sample 33 Day 1,Sample 34 Day 1,Sample 35 Day 1,Sample 36 Day 1,Sample 37 Day 1,Sample 38 Day 1,Sample 39 Day 1,Sample 40 Day 1,Sample 41 Day 1,Sample 42 Day 1,Sample 43 Day 1,Sample 44 Day 1,Sample 45 Day 1,Sample 46 Day 1,Sample 54 Day 1,Sample 55 Day 1,Sample 56 Day 1,Sample 57 Day 1,Sample 66 Day 1,Sample 67 Day 1,Sample 68 Day 1,Sample 69 Day 1,Sample 70 Day 1,Sample 1 Day 2,Sample 2 Day 2,Sample 3 Day 2,Sample 4 Day 2,Sample 5 Day 2,Sample 10 Day 2,Sample 11 Day 2,Sample 12 Day 2,Sample 13 Day 2,Sample 14 Day 2,Sample 15 Day 2,Sample 16 Day 2,Sample 17 Day 2,Sample 18 Day 2,Sample 19 Day 2,Sample 20 Day 2,Sample 21 Day 2,Sample 22 Day 2,Sample 23 Day 2,Sample 24 Day 2,Sample 25 Day 2,Sample 26 Day 2,Sample 27 Day 2,Sample 28 Day 2,Sample 30 Day 2,Sample 31 Day 2,Sample 32 Day 2,Sample 33 Day 2,Sample 34 Day 2,Sample 35 Day 2,Sample 36 Day 2,Sample 37 Day 2,Sample 38 Day 2,Sample 39 Day 2,Sample 40 Day 2,Sample 41 Day 2,Sample 42 Day 2,Sample 43 Day 2,Sample 44 Day 2,Sample 45 Day 2,Sample 46 Day 2,Sample 54 Day 2,Sample 55 Day 2,Sample 56 Day 2,Sample 57 Day 2,Sample 66 Day 2,Sample 67 Day 2,Sample 68 Day 2,Sample 69 Day 2,Sample 70 Day 2,Sample 54 Day 3,Sample 55 Day 3,Sample 56 Day 3,Sample 57 Day 3
F1RX36_48,0.00469131710407395,11.61338118804777,11.577240458884386,2.375523121746766,2.354757208303894,0.03614072916338351,0.950793077524763,36,32,0.7722223342856452,8.64629925245937,11.2723452034588,13.371095694608334,10.60118046312852,15.394400756297719,9.721522048711416,10.931491005579568,10.279100742345205,11.123905611367064,15.84593120029159,13.27055939054339,10.361520975316983,2.254930742609722,11.738859166456747,10.391686315888304,11.0853892409313,11.200286759587136,11.512367129275612,11.689606871884186,9.509732643723488,11.789979079124564,11.50492580433727,13.255436175693001,11.457460388588833,13.425876305747323,11.601929765054214,11.899235997611827,15.587965868401696,14.123074403144956,0.9598456267441667,13.32457727108911,,,2.5595805402905807,,7.220743779550658,8.49599855145354,7.301574604957376,10.875659141062075,,,3.5401618455092656,14.273790124435033,11.659450357935924,8.669367831945172,13.191599886647063,15.98877176125302,10.581661617785164,13.964202521984012,12.150955052065678,16.68480786187141,12.455693822440004,4.398760518807392,9.457884602220389,10.590093055046351,10.86934388654261,11.317820643143762,10.750692590540728,,,11.24700113758434,11.005879691440525,11.01166499361405,12.421318529756725,12.774010940893293,11.476260434719562,,12.016928243933513,13.540830052508255,5.690771101494325,11.455733806262636,11.334935759104889,12.352479008005007,11.547012201528508,12.332629240578983,13.144212238214115,9.59299438374484,13.855943252986867,12.906892832508703,10.92145286555717,2.7975648505938344,10.666640071154076,11.804545453374539,,,12.259518855448235,12.652398405416633,11.570291683683257,3.3432256030640612,10.535710611293283,11.653793019357435,13.137352681792649,15.073926062822906,11.759594064978899,13.908417239614197,13.15195796302084,10.73843632669818,10.753307239179177,12.513706508216254,8.80112203231765,14.186356361897865,8.829076508931399,13.181345486952432,11.15673824743402,7.833990744321792
F1RX36_7,0.2414992036061345,4.268125528722702,5.921443782673677,2.008742804151236,1.747735350397919,-1.6533182539509754,0.02255479516159529,16,16,0.07107194446603408,3.045688293985466,3.009150169436476,3.7001491184142346,3.6573570972002636,,,,,,,,,,,,,,,,,,,,,,,,,,0.9598456267441667,3.631100691921684,2.6836982470500934,1.164016985813148,,,,3.101514196115435,2.9739091755569356,2.9975572922417144,,,2.8828547383120218,,,,,2.3674788994086917,,,,,7.525057753627031,3.841402701873974,6.849787183579561,7.900616348258019,8.254517077215425,2.1662102191219152,2.783607781642076,,3.62104618816887,3.4356996908733124,3.133920414256156,2.9983195225017583,7.590219855891482,6.817414219307783,3.719031267044752,7.589558964985959,3.891823584929041,3.9703256537331826,4.118464020440548,6.185450405770887,3.0140230741617753,7.085451115994736,3.728785187032742,6.747356715638677,7.877866179162915,7.41228178631215,7.709257999084914,7.285790493287284,7.293152908421813,3.6359602272690483,7.102337734240041,3.3763259991850902,5.8489385309519335,7.23679622782593,7.549558750680909,7.597269152924082,7.166843930414445,6.3387019886670295,6.021637143472525,6.727828875250691,3.304507827536545,,,3.27497456942843,2.312585842953635,,,,,,,,3.5674215735587613,3.254249216497588
F1RX36_6,0.28020001702256925,10.698547742159484,8.75191898235548,2.9043534752201166,3.2956748086858108,1.9466287598040033,0.014026062890331878,38,29,0.05296047884452899,7.093824250616883,9.225055121703988,11.954971036932866,11.34420507882478,15.036678757118757,4.1538825918678635,2.077882747919895,11.436907395592462,10.180296464325195,13.902513240027554,13.80807000401146,12.018265368406311,6.807026957895201,,,,5.925721501310968,10.64076530509867,2.9379297731769523,9.191898883217378,8.494066675712597,9.290404029033384,13.036526029935793,6.388764048220293,11.595788731422536,8.368688322647648,3.7292804738323846,13.23037079509682,5.093223463376489,6.294900068437375,13.949219184689909,7.698651264593683,10.333087842619728,12.85440159162092,11.051784043293502,3.1760873560884106,9.490013230437677,13.621845447566594,13.824838291568065,9.401857081340838,6.635853518654334,,12.898754542427284,9.995235241632152,9.308458618498408,10.490396898874494,14.195925089540061,11.709765310530786,13.80227398142872,12.642927574232496,14.519079949499265,12.00056151453292,10.40325592485903,9.709461320215356,10.715111882576082,11.796373324734967,10.583881300112248,11.008681604947817,6.374054915182865,7.580702264866344,12.53134072312694,4.180142959149139,11.509813362754985,12.604478669298501,13.022550513283823,12.174214382688037,3.0769794795837186,6.323167233765297,4.259051631290365,,7.624722231239457,4.021828441797245,10.147834135108953,9.459467906277682,11.30840518513407,12.607784615870274,12.391374322885781,11.94649223061,8.106844519498623,11.173503497739313,2.2702536218242044,11.1466069749454,11.922258303669478,9.290912947426627,8.967805552407022,13.151091021705247,12.379589073142876,11.588512583884253,8.978909718593842,10.984554388481897,11.639629096914456,13.036773348127788,12.178212091972801,11.822213816141621,13.810409346342425,12.515381080240337,8.937918100911924,11.64805386594424,12.507765375724375,9.590666964195258,13.671659534214198,10.02324139426373,14.450048512441034,11.981261348630277,11.332377574498432
HBA_10,0.11250782298746015,10.595436288851468,11.484021524197987,3.701026354186442,3.2501702654897264,-0.8885852353465182,0.35678362410663156,27,28,0.442694695067152,10.902724897571218,9.28209118165942,11.512942569547755,9.98389656594041,11.433896821910869,5.127903381653158,10.588958007975613,11.302920715573707,10.581388385845203,14.616911965770157,14.147850619041678,10.538760672822283,12.277096874656204,11.090729814377097,10.615826031489663,11.644694141988303,13.130891917511283,12.060532529338944,10.547881089498125,11.913987470235101,12.501972666592486,12.911479737844575,16.504625876123256,13.715314656790525,16.39957030427274,13.768484392860735,11.662349189957764,16.156222470621966,16.435935975751587,3.7208713927367505,15.200113232007956,7.902263075138182,11.489339262666974,12.925262316470281,10.855745346394306,11.216008038256325,13.398002851565577,13.60905232159351,14.509580417547895,14.180585714438207,11.503458420724895,,16.19255367511855,12.77390159440087,11.296218073719091,15.429165401222546,16.680542622857253,9.81715907484178,10.924139287330865,10.609875120914941,16.700653768734714,8.88649213250555,,5.056226485500478,,,,,,,,,,,,3.6494191938225224,,5.041438815452499,,,10.328650605907898,11.05062865938852,10.632350951406167,12.389953333864568,12.240356596473447,9.116000651814884,10.266997447672004,10.114285821621806,3.3849254602089744,3.3124594833739898,,11.58245062372847,11.366218512353521,3.14876878996546,9.460169854012404,13.720061059215412,12.795906495261486,13.325386072866012,6.591846465130312,12.789295349182959,14.377594601722231,,8.3091513017862,5.824396235437405,7.134350823656547,,4.053821255957448,1.996115153374433,,6.057845308037929,9.581825059161703,,13.005384970954408,8.950964723136472,3.02744224702543
HBA_1,1.2991655531767567,10.629613159866018,17.706049747652667,4.437593835891721,1.4465693370448511,-7.076436587786649,2.2025841962137804e-12,35,33,4.823659389708179e-10,13.535062447833587,13.149925442871542,15.193491346341242,14.719038409179488,13.632247592624276,12.006157269620523,12.457802693305757,13.570933370433258,13.420506879022435,14.369822343939788,14.512974894358523,13.729643762210353,18.986799713647848,19.34172310554794,19.26748112284537,18.619412946118466,18.1637460960962,18.689857897392674,20.333767771052834,17.93304188959428,18.449949438287028,18.112566580145998,19.025986286028566,18.914740397055684,18.51144001688761,18.22614843771257,18.746663750773806,18.58129370711566,19.30724809124248,10.88638023633694,14.868717171763956,15.007348585332373,13.827714518627525,14.138245482703857,13.273665567090466,13.688430706263254,15.598854118607226,14.855621738736252,15.437923882829592,15.48427214206756,15.574990228769261,9.854044878547425,14.066231371960882,14.277052178160277,14.176478327469518,14.213237244573707,14.831888697694424,13.110293173062319,13.446424104410484,14.844771430860275,14.0227664956668,10.481935811219728,7.282882314582406,10.678601860150634,7.757561328647829,7.166448959732487,6.045481048036621,3.0105362699444638,,,7.856869865542383,3.6550743961164778,,14.748023054333549,15.51214917653269,17.132551368562936,17.09399236352915,17.21262094822568,17.945923127021675,16.439928950814515,15.60080539196431,15.906477467543667,16.9775985803196,13.744230736655338,16.305483954152358,16.47680881944693,18.195498259292226,18.233537386589358,17.56214484000883,11.464818550755913,8.706734629268057,12.654748629357307,13.936630050020758,11.338834902624349,9.203085375076588,14.255088893499869,13.083278946130706,11.447411268795586,5.233392198254953,13.009434253872001,15.038091112334277,9.920127980900613,14.485500340706878,11.34264545377365,12.199667563570685,9.998527020844746,1.1795311428901423,1.092562593246243,6.160032115675818,2.4685198090078684,5.913673604918027,15.640266240692322,16.614438577741133,14.382614948655153,12.455964693983207
HBA_0,1.026170259347619,12.659434567943606,5.563262607040796,3.4590769543745292,2.9908660925674257,7.09617196090281,1.398522163541936e-07,23,16,6.806141195904089e-06,12.268445406640941,10.897866357797431,12.901623639417567,7.6787903054353555,13.325284036747023,8.184144241832405,13.292794210072506,13.250857867872304,13.701015216175819,15.625450943964793,15.649367998563532,12.673033645884617,3.1942079911836214,3.417196894061023,7.589599664501396,,2.4331372443611565,3.5651048955282856,9.356100023190999,,4.7578674316779015,3.2268799185437733,10.296805219410235,2.9238618525039772,,,6.732879622387041,7.741247007535587,10.349499047964498,5.938507280051983,15.453853990032547,13.301011340292254,7.859657685666512,11.724489151492712,10.03002240297589,13.273418510366843,15.761352690530806,12.545562201768533,14.914471291080504,16.080391834828365,15.186170291126338,2.4103385820852687,15.856688920991944,16.15672697809383,14.32648002197159,16.46846021586723,15.86944802588926,11.545094389418269,12.65598920489362,13.045513181460414,16.63753121027979,,,,,,,,,,,,,,,,,,,,,,,9.007317251104295,1.267464816026201,,3.1530328326727446,,,,,10.572001038516577,10.757309496070006,,,1.49014089252483,8.271282709070222,3.988434202691233,,9.492481798391799,11.748092477952548,,6.275913940010056,5.6725372771971925,10.148170342050749,3.0810288488965227,,,2.438153080599864,,6.718235962832782,,11.480228787984375,,8.339530201798409
HBA_2,0.5022212550854036,12.376960722583393,15.231877123088031,3.037188012380853,2.161138890600857,-2.8549164005046386,4.3911236057479425e-05,35,33,0.0006727270980996658,14.529275307280903,12.749326531983302,13.84856423755977,15.596834865478561,14.535774066624244,12.07891102739058,12.969971502608175,13.68529200530896,13.404289155018619,15.489543436013449,15.99338956924821,14.08319627414407,17.278192045285085,17.107235855618264,16.280095173115043,17.718223608446404,17.533521847879825,17.417858631141442,16.26626752474947,16.757949836350843,17.35659569684602,17.624141641761373,18.434697825077947,16.673364261436074,16.56527314850469,16.948995626247143,14.358560885133668,16.485736486020762,16.83056721589159,10.51669458475498,15.764700967355424,14.582223909405846,13.555568436372907,13.743959056966851,13.563965837652857,14.63398849313615,15.817120071855271,14.93682708281642,16.807029466204142,16.143058138501576,16.24122593077087,11.278871177548256,15.529328835753292,15.159394815206412,14.32802768733103,15.857904446089927,15.653928746179346,14.313839151020874,12.983545379579342,13.827405349534699,14.829301273851534,11.310906018208208,9.840253557652135,12.522252939765645,6.1566566814104915,,10.120924416569737,6.125644430821097,,,7.155014336364078,3.2312553475978216,10.392429457018517,9.395236191335885,11.032979158781957,14.200445984759606,16.08843623256134,14.587362634028958,13.446251147162508,12.40479342894067,13.000715312640745,14.289507604437729,13.956979699061188,14.304987284998418,14.475219992339447,14.899332365053658,13.504640494739869,14.071878647952126,11.355901573605236,12.089520182826076,9.928847292362297,12.599522454482186,13.36278503633388,6.292081255264755,9.984576718046656,14.871121548509386,13.2715262219739,13.22719232322973,11.825615197028101,14.166180676288953,16.98656376516846,11.306461711467913,8.921579465993757,10.519352925571772,11.947551257552385,9.511446206808595,10.557622905499061,10.898163761379811,11.157293076047841,10.944987324362522,11.333177374516515,4.457843210250528,13.903535989552793,12.70105491729502,12.159943139001195
HBA_3,0.48211977277548385,9.618251456868082,13.102443550621846,4.869443816291325,2.0055211553701704,-3.484192093753764,0.0012919516617451983,22,29,0.010288633233534489,8.279752847680877,,9.736999843989645,1.3494822267441569,11.770495413916969,,8.731049149596677,6.574766463188731,3.4404679348727387,15.480074257425242,14.208060210378756,8.46086250509743,12.300265703349977,12.368936630017316,12.562283982725821,7.577709051942107,11.955478828014174,12.119450676936514,12.220685541118797,12.619285185714967,12.221431746583681,11.93709999303803,16.536786621050084,14.541787313676293,13.706250770647479,10.970397916748412,14.792977858447216,17.69510595012942,15.204293852020404,,15.333818601591533,5.702591531110341,13.658338091452377,13.571708714646844,12.357997822949635,9.688983377608741,12.542016645315462,13.717877141682768,12.880985429661981,12.717409516861403,9.892071734714046,,15.577584304437506,15.974241883904,14.27533401864964,16.150053531230608,14.848342337475835,,6.712675080649395,8.09172835353236,15.520877451982315,3.4338444732078774,,,,,3.7215918475875296,,,,,,,,,11.339566354321311,,10.556896194294149,12.891926271152785,,12.444243694993292,11.790133625532102,13.84864529676613,12.978624288891242,13.56780404018346,12.770466103583622,16.739691232075277,14.909483827766154,14.803154416313342,,,10.682531888473585,11.942317029335621,,,9.463472679783733,11.334822285573543,12.133687530393152,,10.373674138278886,12.400613875905265,,,0.7912406363921162,8.69024125918686,,,,2.9173530409608355,,6.345894874588716,,14.646636811571044,,2.9861549218085863
HBA_12,0.4800452137691443,11.956872115581623,14.76258201220365,3.4872956862802926,1.6101507936310244,-2.8057098966220266,8.653940406907165e-05,37,33,0.0011148311465368642,12.405454383313185,11.64853468588339,14.095655477383426,13.45474478867502,12.154710866883972,11.010340832289154,12.770784452358187,12.881830196767043,14.05178003513039,15.605267411744194,15.778164957598763,12.759962455833522,16.41776195685674,15.95899030362027,16.55782587164929,16.05152266701239,15.888898092130539,15.739573486904277,16.009253580516376,15.978274315695558,16.614557303991976,17.537133692437447,16.12717036943505,16.537851639896477,15.67045459967161,15.650316548329776,16.148278655840585,14.93021766701051,15.920128981338388,3.4860603816963334,15.770691866403475,10.097823997934823,10.88352664466771,10.17897814996302,11.047196664162747,10.896415813017635,12.605093671233293,11.74001009554513,15.406874366372747,11.254063595328839,11.306813662844958,5.5197475235869335,16.536829617993376,13.357801306491863,13.051351081376561,15.217603176865657,16.89922495577547,14.189125527291713,14.042457844716557,14.356343938292653,18.264573177704154,10.947295082982821,7.394940250949941,12.250267169381404,5.203172104063583,,7.601954647403917,8.387860954724873,3.055444148057776,2.9511599751404987,11.617196322834879,7.8085906388206565,8.191419645122458,11.153711834052707,12.524837153135172,14.528069115491391,14.150585628860687,14.546180106174539,12.599436660150872,13.875197718471474,12.905707026732436,13.835225728647858,13.552817760665313,13.734533269730875,14.161792928830872,14.079915555493061,12.81951036355307,13.958694036788792,11.000781783604069,9.739019386344019,3.07224771694978,10.673690233947733,10.977887705070879,5.437596311615,8.12773548331875,12.392032543224905,10.17897663083832,14.428897392044183,4.75210745347712,11.369167560760692,13.407966266376045,10.643134464930728,9.353853446263686,11.084939156603745,12.276403032974462,10.62408047271326,12.129464423597726,12.369367103955703,12.285911247833795,12.368740375667942,13.308943015613876,7.362003948438175,14.193008106560946,13.388210725918185,12.65602750616435
